
车型,选车类型,价格/万,新车价格,上牌时间,公里数,排放标准,排量,过户信息,年检到期,交强险,商业险到期,发动机,变速箱,网址
传祺GS4 2017款 235T 自动两驱豪华智联版,严选车,¥8.43,新车指导价15.60万(含税),2017-04,2.24万公里,国五,1.5,0次过户,2021-4,2020-4,已过期,1.5T 152马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sz/4bbc3159f20f3c56x.htm
本田 雅阁 2014款 2.4L EX 豪华版,严选车,¥13.83,新车指导价24.90万(含税),2015-02,6.1万公里,国四,2.4,0次过户,2021-2,2019-6,已过期,2.4L 186马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/sz/23061921ccc357b6x.htm
斯柯达 明锐 2017款 1.6L 自动创行版,严选车,¥7.81,新车指导价15.40万(含税),2016-08,2.35万公里,国五,1.6,0次过户,2020-8,2019-8,已过期,1.6L 110马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sz/3d1e9997ccf39fd8x.htm
东风风行 风行S500 2016款 1.5L 手动豪华型,严选车,3.30,原价3.35万,2016-01,6.57万公里,国五,1.5,0次过户,2020-1,2019-12,已过期,1.5L 120马力 L4,5档手动变速箱(MT),https://www.guazi.com/sz/6906c5f993ceb3a7x.htm
长安商用 2015款 1.5L金欧诺精英型,严选车,¥2.66,新车指导价5.50万(含税),2016-04,3.27万公里,国五,1.5,0次过户,2020-4,2020-4,已过期,1.5L 106马力 L4,5档手动变速箱(MT),https://www.guazi.com/sz/715bf253bb2dd9cbx.htm
别克 英朗 2018款 15T 双离合精英型 国V,严选车,¥7.34,新车指导价13.80万(含税),2018-01,3.06万公里,国五,1.0,0次过户,2020-1,2019-12,已过期,1.0T 125马力 L3,6档双离合变速箱(DCT),https://www.guazi.com/sz/6a36d44cac34c691x.htm
DS 6 2018款 30THP 尊贵型,严选车,¥13.93,新车指导价25.00万(含税),2018-08,0.59万公里,国五,1.6,0次过户,2020-8,2019-7,已过期,1.6T 167马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sz/54af7a9ae4642543x.htm
DS 5 2014款 1.6T 豪华版THP160,严选车,¥11.38,新车指导价26.50万(含税),2016-05,5.3万公里,国五,1.6,0次过户,2020-5,2020-4,已过期,1.6T 163马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sz/ef2d73f2c92cb790x.htm
宝骏310 2016款 1.2L 手动舒适型,严选车,¥2.75,新车指导价4.30万(含税),2017-06,2.3万公里,国五,1.2,0次过户,2021-6,2019-6,已过期,1.2L 82马力 L4,5档手动变速箱(MT),https://www.guazi.com/sz/5a9fcfc8d28b7002x.htm
凯迪拉克ATS-L 2014款 25T 舒适型,降价急售,¥15.38,新车指导价31.30万(含税),2016-01,5.57万公里,国五,2.0,1次过户,2020-1,2020-3,已过期,2.0T 230马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sz/bd94270e082daec8x.htm
陆风X5 2014款 2.0T 自动创享版,严选车,4.58,原价4.84万,2015-01,3.29万公里,国四,2.0,0次过户,2021-1,2020-4,已过期,2.0T 190马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/sz/d5c3b81cb9559245x.htm
现代 全新胜达 2013款 2.4L 自动四驱智能型,,¥11.46,新车指导价28.20万(含税),2013-03,9.83万公里,国四,2.4,1次过户,2020-3,2020-4,已过期,2.4L 189马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sy/2d3e7eb09c707bb9x.htm
比亚迪F3 2015款 节能版 1.5L 手动豪华型,严选车,¥2.66,新车指导价6.10万(含税),2015-06,3.72万公里,国五,1.5,0次过户,2021-6,2019-6,已过期,1.5L 109马力 L4,5档手动变速箱(MT),https://www.guazi.com/sz/691a2325674a53a1x.htm
现代ix35 2015款 2.0L 自动两驱智能型 国V,严选车,¥9.46,新车指导价19.20万(含税),2016-05,2.51万公里,国五,2.0,0次过户,2020-5,2019-5,已过期,2.0L 160马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sz/fd76941942be985bx.htm
丰田 汉兰达 2017款 2.0T 四驱至尊版 7座,准新车,¥33.33,,2018-04,1.55万公里,国五,2.0,0次过户,2020-4,2020-3,已过期,2.0T 220马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cd/f9ffa897f6cbcb54x.htm
海马S5 2016款 1.5T CVT创享版,严选车,¥5.75,新车指导价10.80万(含税),2017-04,3.07万公里,国五,1.5,0次过户,2021-4,2020-4,已过期,1.5T 163马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/sz/4a7e0f3df57067d8x.htm
别克GL8 2014款 2.4L CT豪华商务舒适版,降价急售,¥14.48,新车指导价31.50万(含税),2014-12,5.72万公里,国五,2.4,0次过户,2020-12,2019-12,已过期,2.4L 186马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/shaoxing/97056321fc493d19x.htm
别克 君威 2014款 2.0L 领先时尚型,降价急售,¥8.60,新车指导价19.40万(含税),2014-12,5.03万公里,国四,2.0,0次过户,2020-12,2019-12,已过期,2.0L 154马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/su/79e35229b0807506x.htm
大众 桑塔纳 2015款 浩纳 1.6L 自动舒适型,严选车,¥7.36,新车指导价12.80万(含税),2016-10,1.51万公里,国五,1.6,0次过户,2020-10,2019-9,已过期,1.6L 110马力 L4,6档自动变速箱(AT),https://www.guazi.com/sz/3bd55d52d429caf8x.htm
荣威RX5 2016款 20T 两驱自动旗舰版,严选车,¥7.73,新车指导价15.10万(含税),2017-04,4.64万公里,国五,1.5,0次过户,2021-4,2020-3,已过期,1.5T 169马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/sz/b4f9da4a7bd48d53x.htm
标致301 2016款 1.6L 自动舒适版,严选车,¥5.57,新车指导价10.60万(含税),2016-07,2.55万公里,国五,1.6,0次过户,2020-7,2019-7,已过期,1.6L 117马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/zhongshan/b53f9b681330f922x.htm
传祺GA6 2015款 1.8T 自动舒适型,降价急售,¥5.63,新车指导价14.10万(含税),2015-07,6.01万公里,国五,1.8,0次过户,2019-10,2019-7,已过期,1.8T 177马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/anshan/d2fb2e3a4f658d01x.htm
丰田 卡罗拉 2014款 1.6L 手动GL,0过户,¥6.50,新车指导价11.70万(含税),2015-07,5.7万公里,国四,1.6,0次过户,2019-7,2019-7,2019-7,1.6L 122马力 L4,5档手动变速箱(MT),https://www.guazi.com/ty/c271e0b8d8aba437x.htm
别克 君越 2014款 2.0T SIDI 精英技术型,0过户,¥15.63,新车指导价29.30万(含税),2015-10,2.45万公里,国五,2.0,0次过户,2019-10,2019-9,已过期,2.0T 254马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cs/227ab4ac3bea09f3x.htm
MG6 2012款 掀背 1.8L 自动驾值版,0过户,¥4.20,新车指导价15.10万(含税),2012-10,6.09万公里,国四,1.8,0次过户,2019-10,2019-10,已过期,1.8L 133马力 L4,5档手自一体变速箱(AT),https://www.guazi.com/hrb/5bc6cae9cc9db0cdx.htm
沃尔沃V40 2016款 T3 智逸版(进口),0过户,¥12.50,新车指导价26.60万(含税),2015-12,9.11万公里,国五,1.5,0次过户,2019-12,2019-11,2019-11,1.5T 152马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/gz/86cf29b7c1080a5dx.htm
别克 英朗 2013款 XT 1.6L 自动时尚版,降价急售,¥5.70,新车指导价16.30万(含税),2014-10,3.34万公里,国四,1.6,1次过户,2020-10,2019-9,已过期,1.6L 121马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/weifang/4336b53fe70f3904x.htm
雪铁龙 世嘉 2013款 三厢 1.6L 手动品尚型,严选车,3.62,原价3.81万,2014-09,9.92万公里,国五,1.6,0次过户,2020-9,2019-9,已过期,1.6L 117马力 L4,5档手动变速箱(MT),https://www.guazi.com/foshan/a09f4c73ea63cbdcx.htm
雪佛兰 科鲁兹 2012款 1.6L SE MT,降价急售,¥4.55,新车指导价13.00万(含税),2012-12,6.09万公里,国四,1.6,0次过户,2019-12,2019-12,已过期,1.6L 117马力 L4,5档手动变速箱(MT),https://www.guazi.com/yantai/88ae0e295fee7b28x.htm
本田 锋范经典 2012款 1.5L 手动舒适版,严选车,4.55,原价5.1万,2014-04,3.4万公里,国四,1.5,0次过户,2020-4,2019-4,已过期,1.5L 120马力 L4,5档手动变速箱(MT),https://www.guazi.com/huizhou/2f19211afa79c385x.htm
斯柯达 昕锐 2013款 1.6L 自动智选型,0过户,¥5.80,新车指导价11.50万(含税),2014-06,6.13万公里,国四,1.6,0次过户,2020-6,2019-6,已过期,1.6L 110马力 L4,6档自动变速箱(AT),https://www.guazi.com/xa/9fb0484ecf87a7b7x.htm
起亚K2 2012款 三厢 1.4L MT TOP纪念版,降价急售,¥3.90,新车指导价9.20万(含税),2013-04,7.98万公里,国四,1.4,1次过户,2020-4,2020-4,已过期,1.4L 107马力 L4,5档手动变速箱(MT),https://www.guazi.com/bj/d3a5cfc5cc9bedb9x.htm
宝马5系 2013款 520Li 典雅型,0过户,¥23.00,新车指导价46.50万(含税),2013-04,8.33万公里,国四,2.0,0次过户,2020-4,2020-4,已过期,2.0T 184马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/su/1750f92c71cdf425x.htm
雪佛兰 迈锐宝 2017款 1.5T 自动豪华版,严选车,¥10.13,新车指导价19.50万(含税),2018-02,0.95万公里,国五,1.5,0次过户,2020-2,2020-1,已过期,1.5T 170马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sz/d91122b62c6f8436x.htm
雪佛兰 科鲁兹 2013款 掀背 1.6L 自动豪华型,严选车,¥5.27,新车指导价14.50万(含税),2014-10,3.73万公里,国五,1.6,0次过户,2020-10,2019-10,已过期,1.6L 121马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/foshan/c036429a32e90328x.htm
哈弗H2 2014款 1.5T 手动两驱精英版,严选车,4.72,原价5.06万,2015-08,7.03万公里,国五,1.5,0次过户,2019-8,2019-8,已过期,1.5T 150马力 L4,6档手动变速箱(MT),https://www.guazi.com/zhongshan/80a88091230593fdx.htm
比亚迪 速锐 2014款 1.5L 手动豪华型,严选车,2.89,原价3.28万,2014-09,3.67万公里,国四,1.5,2次过户,2020-9,2019-9,已过期,1.5L 109马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/827fecc9738d70e6x.htm
长安 逸动 2015款 XT 1.6L 手动致酷型 国V,严选车,3.63,原价4.21万,2015-11,6.58万公里,国五,1.6,0次过户,2019-11,2019-10,已过期,1.6L 125马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/3f1529d68ba059bbx.htm
大众 高尔夫 2012款 1.4TSI 自动舒适型,降价急售,¥7.50,新车指导价15.70万(含税),2013-08,14.94万公里,国四,1.4,1次过户,2019-8,2020-1,已过期,1.4T 131马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/qd/b2267a7ded8294dcx.htm
长安CS35 2015款 1.6L 手动豪华型 国IV,降价急售,¥4.30,新车指导价9.00万(含税),2015-12,4.68万公里,国四,1.6,0次过户,2019-12,2019-12,已过期,1.6L 125马力 L4,5档手动变速箱(MT),https://www.guazi.com/cq/e1412493249a1692x.htm
大众 宝来 2012款 1.6L 手动时尚型,0过户,¥3.90,新车指导价11.70万(含税),2011-12,9.97万公里,国四,1.6,0次过户,2019-12,2019-12,已过期,1.6L 105马力 L4,5档手动变速箱(MT),https://www.guazi.com/yantai/43670a29e7c027d9x.htm
Smart smart fortwo 2015款 1.0L 52千瓦硬顶灵动版,降价急售,¥8.53,新车指导价12.70万(含税),2017-03,2.86万公里,国五,1.0,0次过户,2021-3,2020-2,已过期,1.0L 71马力 L3,6档双离合变速箱(DCT),https://www.guazi.com/yantai/89352321c7405893x.htm
比亚迪 唐新能源 2015款 2.0T 四驱旗舰型,降价急售,¥12.92,新车指导价30.40万(含税),2016-06,2.91万公里,国五,2.0,0次过户,2020-6,2019-6,已过期,2.0T 205马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/sz/adc5dad96007169bx.htm
荣威RX5 2018款 20T 两驱自动旗舰版,严选车,8.65,原价9.19万,2017-11,3.59万公里,国五,1.5,0次过户,2019-11,2019-10,已过期,1.5T 169马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/huizhou/70493e7d172ba953x.htm
福特 翼搏 2013款 1.5L 自动尊贵型,严选车,¥6.89,新车指导价13.90万(含税),2016-03,3.78万公里,国五,1.5,0次过户,2020-3,2020-2,已过期,1.5L 110马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/dg/af2d39bf4c916ecfx.htm
马自达 昂克赛拉 2016款 三厢 1.5L 手动舒适型,降价急售,¥7.50,新车指导价12.50万(含税),2016-11,3.67万公里,国四,1.5,0次过户,2019-12,2019-12,已过期,1.5L 117马力 L4,6档手动变速箱(MT),https://www.guazi.com/linyi/924711947cfa1419x.htm
大众 朗行 2013款 1.4TSI 自动舒适型,降价急售,¥7.60,新车指导价16.40万(含税),2014-03,5.89万公里,国四,1.4,0次过户,2020-3,2020-3,已过期,1.4T 131马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/tj/daf289b84d545de6x.htm
别克 君越 2013款 2.4L SIDI精英舒适型,严选车,10.58,原价10.97万,2015-10,9.34万公里,国五,2.4,0次过户,2019-10,2019-10,已过期,2.4L 186马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/zhongshan/ced0d096e41947dex.htm
福特 福克斯 2012款 三厢 1.6L 自动舒适型,降价急售,¥5.00,新车指导价14.20万(含税),2014-01,11.61万公里,国四,1.6,0次过户,2020-1,2020-1,已过期,1.6L 125马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/sz/39a9ad8eab20f021x.htm
比亚迪 速锐 2012款 1.5L 手动豪华型,严选车,¥2.80,新车指导价7.90万(含税),2013-10,6.01万公里,国四,1.5,0次过户,2019-10,2019-9,已过期,1.5L 109马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/2ae864c20c616cbex.htm
福特 福克斯 2013款 两厢经典 1.8L 手动百万纪念版,0过户,¥5.50,新车指导价11.40万(含税),2016-01,5.01万公里,国四,1.8,0次过户,2020-1,2020-1,已过期,1.8L 124马力 L4,5档手动变速箱(MT),https://www.guazi.com/km/dfd502bb34d41adbx.htm
别克 威朗 2016款 两厢 15S 自动进取型,降价急售,¥7.25,新车指导价15.80万(含税),2016-05,3.32万公里,国五,1.5,0次过户,2020-5,2019-5,已过期,1.5L 118马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/a7e216f49299d864x.htm
丰田 威驰FS 2017款 1.5L CVT锋驰版,降价急售,¥7.50,新车指导价9.30万(含税),2018-07,0.64万公里,国五,1.5,0次过户,2020-7,2019-7,已过期,1.5L 107马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/yibin/bac0d340617f8af0x.htm
福特 翼搏 2013款 1.5L 自动风尚型,降价急售,¥5.91,新车指导价12.20万(含税),2013-12,6.4万公里,国四,1.5,0次过户,2019-12,2019-12,已过期,1.5L 110马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/qd/9fd65d207f348a52x.htm
Jeep 自由光 2016款 2.4L 领先版,降价急售,¥12.80,新车指导价24.90万(含税),2016-04,5.56万公里,国五,2.4,0次过户,2020-4,已过期,已过期,2.4L 175马力 L4,9档手自一体变速箱(AT),https://www.guazi.com/ty/2ee8f96097f4968dx.htm
现代ix35 2013款 2.0L 自动两驱舒适型GL 国IV,降价急售,¥9.00,新车指导价20.00万(含税),2014-12,4.31万公里,国四,2.0,0次过户,2019-12,2019-12,2019-12,2.0L 165马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sz/83181d4f77d8279fx.htm
雪铁龙 世嘉 2016款 经典 三厢 1.6L 手动品尚型,0过户,¥4.20,新车指导价10.40万(含税),2014-11,5.74万公里,国五,1.6,0次过户,2020-11,2019-11,已过期,1.6L 117马力 L4,5档手动变速箱(MT),https://www.guazi.com/bj/46b515fda85f7d6dx.htm
丰田 威驰 2017款 1.5L CVT创行版,降价急售,¥6.60,新车指导价9.50万(含税),2017-03,3.92万公里,国五,1.5,0次过户,2020-3,2020-3,已过期,1.5L 107马力 L4,8档无级变速箱(CVT),https://www.guazi.com/hrb/b63c51126d256872x.htm
标致308 2012款 1.6L 自动风尚型,降价急售,¥4.60,新车指导价13.20万(含税),2012-10,3.16万公里,国四,1.6,0次过户,2019-10,2019-10,已过期,1.6L 106马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/xa/d2629b866547af41x.htm
雪铁龙C3-XR 2015款 1.6L 自动先锋型,严选车,5.92,原价6.63万,2016-04,4.83万公里,国五,1.6,0次过户,2020-4,2020-4,已过期,1.6L 117马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/dg/9d87e7fbc8922432x.htm
东风风神AX3 2016款 1.5L 自动尊酷型,严选车,4.54,原价4.76万,2016-06,1.43万公里,国五,1.5,0次过户,2020-6,2019-6,已过期,1.5L 116马力 L4,4档自动变速箱(AT),https://www.guazi.com/foshan/c6632e439d117d99x.htm
现代 索纳塔八 2014款 2.0L 自动尊贵版,降价急售,¥9.20,新车指导价21.60万(含税),2014-10,5.06万公里,国四,2.0,0次过户,2020-10,2019-10,2019-10,2.0L 162马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cq/d734033443880359x.htm
日产 轩逸 2012款 1.6XE CVT舒适版,降价急售,¥8.33,新车指导价14.00万(含税),2015-08,3.95万公里,国五,1.6,0次过户,2019-8,2019-7,已过期,1.6L 126马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/huizhou/36ad92454aabec85x.htm
别克 英朗 2013款 GT 1.6L 自动时尚版,0过户,¥5.50,新车指导价16.60万(含税),2013-08,3.98万公里,国四,1.6,0次过户,2019-8,2019-8,已过期,1.6L 121马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sz/ba8acf639df46c8fx.htm
标致308 2013款 1.6L 自动优尚型,严选车,4.44,原价4.58万,2013-08,5.93万公里,国四,1.6,0次过户,2019-8,2019-8,已过期,1.6L 117马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/dg/f93f9fa710c629f1x.htm
奥迪A4L 2012款 2.0 TFSI 自动标准型,0过户,¥11.00,新车指导价33.60万(含税),2012-09,16.53万公里,国四,2.0,0次过户,2019-9,2019-8,2019-9,2.0T 180马力 L4,8档无级变速箱(CVT),https://www.guazi.com/nj/2c89993f287fc988x.htm
沃尔沃S60 2012款 T5 智尊版(进口),严选车,9.37,原价10.12万,2013-05,15.77万公里,国四,2.0,0次过户,2019-5,2019-5,已过期,2.0T 240马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/dg/2c66750088b05af4x.htm
日产 阳光 2016款 1.5XE 手动领先版,严选车,¥4.51,新车指导价8.80万(含税),2016-11,2.3万公里,国五,1.5,0次过户,2020-11,2019-11,已过期,1.5L 112马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/50e6acc9251e9c2dx.htm
宝骏560 2015款 1.8L 手动精英型,降价急售,¥5.20,新车指导价9.10万(含税),2016-09,2.68万公里,国五,1.8,0次过户,2020-9,2019-9,2019-9,1.8L 137马力 L4,5档手动变速箱(MT),https://www.guazi.com/sz/a732337d3b4d0db1x.htm
宝骏560 2015款 1.8L 手动精英型,降价急售,¥5.20,新车指导价9.10万(含税),2016-09,2.68万公里,国五,1.8,0次过户,2020-9,2019-9,2019-9,1.8L 137马力 L4,5档手动变速箱(MT),https://www.guazi.com/sz/a732337d3b4d0db1x.htm
宝骏510 2017款 1.5L 手动豪华型,降价急售,¥4.78,新车指导价7.60万(含税),2017-09,2.07万公里,国五,1.5,0次过户,2019-9,2019-8,2019-8,1.5L 112马力 L4,6档手动变速箱(MT),https://www.guazi.com/jilin/4164e1bfe640d48fx.htm
哈弗H6 2015款 运动版 1.5T 自动两驱豪华型,降价急售,¥7.30,新车指导价14.80万(含税),2016-05,1.71万公里,国五,1.5,0次过户,2020-5,2019-5,已过期,1.5T 150马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/su/7df47b31d6300b47x.htm
别克 君威 2012款 2.0L 豪华版,,¥6.95,新车指导价22.10万(含税),2012-07,6.82万公里,国四,2.0,1次过户,2019-7,2019-7,已过期,2.0L 147马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sy/69f26535dcdcd744x.htm
别克GL8 2012款 2.4L BASE舒适版,降价急售,¥8.50,新车指导价22.70万(含税),2013-01,12.34万公里,国四,2.4,0次过户,2020-1,2020-1,已过期,2.4L 167马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/jn/efce790a59c64f65x.htm
五菱宏光 2014款 1.2L 标准型,严选车,¥2.66,新车指导价5.30万(含税),2014-12,3.14万公里,国四,1.2,1次过户,2020-12,2019-12,已过期,1.2L 86马力 L4,5档手动变速箱(MT),https://www.guazi.com/sz/d387a3af46aaf3eax.htm
DS 5LS 2014款 1.6T 雅致版THP160,降价急售,¥7.40,新车指导价20.10万(含税),2014-06,6.6万公里,国五,1.6,0次过户,2020-6,2019-6,已过期,1.6T 163马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/su/9e06e77f3c91ef90x.htm
起亚K2 2015款 三厢 1.4L MT GLS,降价急售,¥4.40,新车指导价8.50万(含税),2016-05,5.57万公里,国四,1.4,0次过户,2020-5,2020-4,已过期,1.4L 107马力 L4,5档手动变速箱(MT),https://www.guazi.com/lz/af37b8590e2aa61ax.htm
日产 轩逸 2016款 经典 1.6XE 手动舒适版,严选车,¥5.70,新车指导价10.80万(含税),2016-05,3.85万公里,国五,1.6,1次过户,2020-5,2020-3,2020-3,1.6L 117马力 L4,5档手动变速箱(MT),https://www.guazi.com/foshan/65dd81ba94e07341x.htm
大众 桑塔纳 2013款 1.6L 自动风尚版,0过户,¥5.21,新车指导价10.80万(含税),2013-04,5.48万公里,国四,1.6,0次过户,2020-4,2020-4,已过期,1.6L 110马力 L4,6档自动变速箱(AT),https://www.guazi.com/dl/a2dd24f3b71f8b31x.htm
大众 高尔夫 2011款 1.6 自动舒适型,降价急售,¥5.38,新车指导价15.20万(含税),2011-11,13.3万公里,国四,1.6,0次过户,2019-11,2019-11,已过期,1.6L 105马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/zz/2939603b71132b66x.htm
哈弗H2 2016款 红标 1.5T 自动两驱豪华型,严选车,¥6.63,新车指导价13.30万(含税),2016-03,3.16万公里,国五,1.5,0次过户,2020-3,2020-3,已过期,1.5T 150马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sz/62164e11f65fb9c6x.htm
起亚 智跑 2011款 2.0L 自动两驱版GLS,0过户,¥6.80,新车指导价20.90万(含税),2011-09,12.27万公里,国四,2.0,0次过户,2019-9,2019-9,已过期,2.0L 163马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/yantai/f9046e8bf48e1d16x.htm
大众 高尔夫 2012款 1.6 自动舒适型,降价急售,¥5.80,新车指导价14.40万(含税),2012-03,11.94万公里,国四,1.6,0次过户,2020-3,2019-6,已过期,1.6L 105马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sy/58a411f3906558f7x.htm
别克 英朗 2013款 GT 1.6L 自动时尚版,降价急售,¥5.52,新车指导价16.60万(含税),2013-01,7.58万公里,国四,1.6,1次过户,2020-1,2019-9,已过期,1.6L 121马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sh/633b5286c5ea151dx.htm
别克 凯越 2013款 1.5L 手动经典型,严选车,3.35,原价3.78万,2014-05,8.53万公里,国四,1.5,0次过户,2020-5,2020-4,已过期,1.5L 113马力 L4,5档手动变速箱(MT),https://www.guazi.com/gz/3797e807e1dd125bx.htm
大众POLO 2014款 1.6L 手动舒适版,严选车,4.12,原价4.52万,2015-03,8.33万公里,国五,1.6,1次过户,2021-3,2020-2,已过期,1.6L 110马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/45ab7a5e68c33c71x.htm
福特 福睿斯 2017款 1.5L 自动舒适型,准新车,¥7.71,新车指导价11.70万(含税),2018-04,0.38万公里,国五,1.5,0次过户,2020-4,2019-5,已过期,1.5L 113马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/tangshan/d8fb649bc93fd629x.htm
大众 朗逸 2013款 改款经典 1.6L 自动舒适版,降价急售,¥8.20,新车指导价15.00万(含税),2016-03,5.35万公里,国四,1.6,0次过户,2020-3,2020-3,已过期,1.6L 110马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/xm/906acaf1c99d6cb3x.htm
日产 阳光 2016款 1.5XE 手动领先版,降价急售,¥4.85,新车指导价8.80万(含税),2017-01,2.62万公里,国五,1.5,0次过户,2021-1,2019-12,已过期,1.5L 112马力 L4,5档手动变速箱(MT),https://www.guazi.com/qd/10da6c214eb7bee6x.htm
大众 宝来 2014款 1.6L 自动时尚型,0过户,¥6.50,新车指导价13.00万(含税),2014-06,3.46万公里,国四,1.6,0次过户,2020-6,2019-6,已过期,1.6L 105马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/cd/14caef936e480ae7x.htm
别克 英朗 2015款 15N 自动精英型,降价急售,¥7.30,新车指导价13.80万(含税),2016-03,2.94万公里,国五,1.5,0次过户,2020-3,2020-2,已过期,1.5L 114马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/hrb/ec3c37257ee08926x.htm
别克 英朗 2013款 XT 1.6L 自动时尚版,降价急售,¥6.25,新车指导价16.30万(含税),2014-08,3.53万公里,国四,1.6,0次过户,2020-8,2019-7,已过期,1.6L 121马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/jinhua/692f51c18f5466fax.htm
日产 轩逸 2012款 经典 1.6XE 手动舒适版,降价急售,¥4.40,新车指导价10.80万(含税),2015-11,11.96万公里,国五,1.6,0次过户,2019-11,2019-10,已过期,1.6L 117马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/62dac8a0e73eb6c6x.htm
现代 瑞纳 2010款 三厢 1.4L 自动舒适型GS,严选车,¥3.86,新车指导价9.40万(含税),2013-03,6.44万公里,国四,1.4,0次过户,2020-3,2020-3,已过期,1.4L 107马力 L4,4档自动变速箱(AT),https://www.guazi.com/huizhou/8951c90c5e988e6bx.htm
大众 迈腾 2013款 1.8TSI 领先型,0过户,¥13.55,新车指导价23.90万(含税),2013-10,4.82万公里,国四,1.8,0次过户,2019-10,2019-10,已过期,1.8T 160马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/dg/31160ac7cebd6840x.htm
大众 桑塔纳 2015款 1.6L 手动风尚版,降价急售,¥4.60,新车指导价9.80万(含税),2015-07,2.72万公里,国五,1.6,0次过户,2019-7,2019-6,已过期,1.6L 110马力 L4,5档手动变速箱(MT),https://www.guazi.com/sh/9e9f362668293cb9x.htm
别克 英朗 2013款 GT 1.6L 自动时尚版,降价急售,¥6.50,新车指导价16.60万(含税),2014-04,5.06万公里,国四,1.6,0次过户,2020-4,2019-4,已过期,1.6L 121马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sy/704abab01614a354x.htm
日产 轩逸 2012款 经典 1.6XE 手动舒适版,0过户,¥5.21,新车指导价10.80万(含税),2013-12,4.77万公里,国四,1.6,0次过户,2019-12,2019-11,已过期,1.6L 117马力 L4,5档手动变速箱(MT),https://www.guazi.com/dg/ad8217ffe481475fx.htm
丰田 卡罗拉 2014款 1.6L CVT GL,0过户,¥8.65,新车指导价12.80万(含税),2016-01,5万公里,国五,1.6,0次过户,2020-6,2020-1,已过期,1.6L 122马力 L4,8档无级变速箱(CVT),https://www.guazi.com/sy/1e5f1fa47525a4bcx.htm
